Date,Open,High,Low,Close,Adj Close,Volume
2018-08-17,1.002667,1.006755,1.002305,1.002657,1.002657,0
2018-08-20,1.004783,1.007191,1.003271,1.004833,1.004833,0
2018-08-21,1.009703,1.013798,1.009571,1.009591,1.009591,0
2018-08-22,1.015899,1.019597,1.014961,1.015950,1.015950,0
2018-08-23,1.017191,1.018081,1.014497,1.016994,1.016994,0
2018-08-24,1.014075,1.019119,1.013736,1.013931,1.013931,0
2018-08-27,1.017739,1.020512,1.015703,1.018091,1.018091,0
2018-08-28,1.021242,1.026104,1.019545,1.021033,1.021033,0
2018-08-29,1.024149,1.030025,1.022976,1.023961,1.023961,0
2018-08-30,1.030715,1.032631,1.029379,1.030609,1.030609,0
2018-08-31,1.032322,1.035958,1.031013,1.032418,1.032418,0
2018-09-03,1.031406,1.032738,1.030248,1.031672,1.031672,0
2018-09-04,1.031672,1.032098,1.023971,1.031683,1.031683,0
2018-09-05,1.026852,1.030078,1.025357,1.027010,1.027010,0
2018-09-06,1.029834,1.034554,1.029834,1.029803,1.029803,0
2018-09-07,1.036162,1.037172,1.032088,1.035786,1.035786,0
2018-09-10,1.032258,1.032524,1.026020,1.032418,1.032418,0
2018-09-11,1.025799,1.027855,1.024769,1.025925,1.025925,0
2018-09-12,1.027749,1.030928,1.025830,1.027844,1.027844,0
2018-09-13,1.030928,1.035379,1.030503,1.030928,1.030928,0
2018-09-14,1.034865,1.038098,1.034222,1.035197,1.035197,0
2018-09-17,1.033912,1.040409,1.033506,1.034126,1.034126,0
2018-09-18,1.038821,1.041775,1.038583,1.038767,1.038767,0
2018-09-19,1.037786,1.038098,1.031034,1.037710,1.037710,0
2018-09-20,1.033699,1.042764,1.033485,1.033912,1.033912,0
2018-09-21,1.043079,1.047965,1.042231,1.042938,1.042938,0
2018-09-24,1.043297,1.043776,1.039188,1.043623,1.043623,0
2018-09-25,1.036742,1.037646,1.034148,1.036796,1.036796,0
2018-09-26,1.036001,1.037387,1.030939,1.036012,1.036012,0
2018-09-27,1.036076,1.036484,1.022401,1.036216,1.036216,0
2018-09-28,1.023541,1.026705,1.022662,1.023562,1.023562,0
2018-10-01,1.018963,1.019888,1.014827,1.019160,1.019160,0
2018-10-02,1.016663,1.017501,1.014909,1.016880,1.016880,0
2018-10-03,1.016467,1.016984,1.010377,1.016498,1.016498,0
2018-10-04,1.008369,1.010285,1.007486,1.008319,1.008319,0
2018-10-05,1.008675,1.009061,1.005126,1.008726,1.008726,0
2018-10-08,1.008675,1.009489,1.005702,1.008664,1.008664,0
2018-10-09,1.008065,1.008166,1.004490,1.007963,1.007963,0
2018-10-10,1.008339,1.010540,1.006735,1.008471,1.008471,0
2018-10-11,1.011716,1.014538,1.007993,1.011910,1.011910,0
2018-10-12,1.010121,1.011838,1.007151,1.010305,1.010305,0
2018-10-15,1.009296,1.015373,1.008970,1.009387,1.009387,0
2018-10-16,1.013377,1.014240,1.009326,1.013140,1.013140,0
2018-10-17,1.009693,1.010101,1.006269,1.009673,1.009673,0
2018-10-18,1.005237,1.008166,1.002567,1.004975,1.004975,0
2018-10-19,1.004198,1.005116,1.002416,1.004288,1.004288,0
2018-10-22,1.003915,1.005986,1.002064,1.003814,1.003814,0
2018-10-23,1.004016,1.006056,1.003130,1.003905,1.003905,0
2018-10-24,1.005257,1.005824,1.001272,1.005369,1.005369,0
2018-10-25,1.003009,1.004621,0.998412,1.003140,1.003140,0
2018-10-26,1.000430,1.002516,0.997417,1.000330,1.000330,0
2018-10-29,1.002607,1.002607,0.999171,1.002607,1.002607,0
2018-10-30,0.998283,0.999400,0.995114,0.998273,0.998273,0
2018-10-31,0.994857,0.996810,0.992477,0.995025,0.995025,0
2018-11-01,0.991857,0.999680,0.991857,0.992113,0.992113,0
2018-11-02,0.998104,1.003210,0.996155,0.998004,0.998004,0
2018-11-05,0.997476,0.997506,0.993305,0.997606,0.997606,0
2018-11-06,0.995619,0.997805,0.994550,0.995818,0.995818,0
2018-11-07,0.998692,1.005025,0.995144,0.998423,0.998423,0
2018-11-08,0.998403,0.999300,0.996572,0.998203,0.998203,0
2018-11-09,0.994332,0.995560,0.991670,0.994431,0.994431,0
2018-11-12,0.994431,0.994629,0.989580,0.994135,0.994135,0
2018-11-13,0.989805,0.991896,0.987479,0.989893,0.989893,0
2018-11-14,0.994194,0.994431,0.989795,0.994233,0.994233,0
2018-11-15,0.994065,0.996413,0.992457,0.994135,0.994135,0
2018-11-16,0.993128,0.999600,0.991513,0.993345,0.993345,0
2018-11-19,1.000530,1.007252,0.999350,1.000620,1.000620,0
2018-11-20,1.006917,1.009285,1.005096,1.007049,1.007049,0
