Index,ClosingPrice,Prediction,Outcome,ConsecutiveLosses
1778,1.09589,Neutral,Neutral,
1779,1.090667,Neutral,Neutral,
1780,1.091048,Negative,Loss,4
1781,1.095722,Neutral,Neutral,
1782,1.091584,Neutral,Neutral,
1783,1.086803,Neutral,Neutral,
1784,1.09075,Neutral,Neutral,
1785,1.09131,Neutral,Neutral,
1786,1.088495,Neutral,Neutral,
1787,1.085658,Neutral,Neutral,
1788,1.089064,Neutral,Neutral,
1789,1.096972,Neutral,Neutral,
1790,1.100594,Neutral,Neutral,
1791,1.101406,Positive,Win,0
1792,1.114455,Positive,Win,0
1793,1.122347,Positive,Win,0
1794,1.122776,Positive,Win,0
1795,1.12376,Positive,Loss,1
1796,1.122889,Positive,Loss,2
1797,1.120523,Positive,Loss,3
1798,1.11371,Neutral,Neutral,
1799,1.112533,Negative,Win,0
1800,1.106317,Negative,Win,0
1801,1.105046,Negative,Loss,1
1802,1.107837,Negative,Win,0
1803,1.097876,Negative,Loss,1
1804,1.102426,Negative,Win,0
1805,1.099759,Neutral,Neutral,
1806,1.100788,Neutral,Neutral,
1807,1.094415,Neutral,Neutral,
1808,1.095158,Neutral,Neutral,
1809,1.100267,Neutral,Neutral,
1810,1.100316,Neutral,Neutral,
1811,1.09589,Positive,Win,0
1812,1.097767,Neutral,Neutral,
1813,1.098165,Neutral,Neutral,
1814,1.094439,Neutral,Neutral,
1815,1.090988,Neutral,Neutral,
1816,1.090417,Neutral,Neutral,
1817,1.087488,Negative,Win,0
1818,1.087465,Negative,Loss,1
1819,1.087559,Negative,Loss,2
1820,1.089835,Negative,Win,0
1821,1.084669,Neutral,Neutral,
1822,1.086579,Neutral,Neutral,
1823,1.079914,Neutral,Neutral,
1824,1.079739,Neutral,Neutral,
1825,1.082556,Negative,Loss,1
